abandon,v./n.放纵;v.放弃
embezzle,vt. 盗用
embolden,vt. 鼓励，使大胆
emboss,vt. 装饰
embrace,vt. 乐于接受
embroider,v. （时常伴有夸张和想象内容地）详细说明
emigrate,vi 移民，移居海外
eminent,adj. 杰出的
emollient,adj. 起缓和作用的
emulate,vt. 效仿
enact,vt. 制定或颁布（法律）
enamel,vt. 装饰
encomium,n. 赞颂之词
encompass,vt. 组成，包含
encumber,vt. 阻碍；妨碍
endemic,adj. 地方性的
endorse,vt. 公开支持
enervate,vt. 使衰弱
enfranchise,vt. 给予…权利（例如选举权）;vt. 解放
engender,vt. 引起，使发展
engross,vt. 使全神贯注
enigma,n. 难以理解或解释的事物，谜
enlighten,vt. 使知道，启发
enmity,n. 敌意
ennoble,vt. 使尊贵
ennui,n. 倦怠；缺乏兴趣
expostulate,vi.争论，辩驳
ensconce,vt. 隐藏
ensue,vi. 紧随其后
entangle,vt.使变复杂或困难
episodic,adj.片段的，断断续续的
entice,vt.诱使
entrance,vt.使入迷
entrap,vt.诱骗
entreat,vt.恳求
enunciate,v.清晰地说;vt.公开宣布，宣称
ephemeral,adj.短暂的
epic,adj.宏大的，超凡脱俗的
epicure,n.美食家
epigram,n.机智的短诗，警句
epilogue,n.文学作品的结局
epithet,n.外号，绰号
epitomize,vt.代表，体现，是…的典型范例
equable,adj.（脾气、性情）温和的
equity,n.不偏不倚，公平
equivalent,adj./n.等价的，相等的
equivocate,vi.（带有欺骗目的地）模棱两可地说，说谎话
empirical,adj.基于观察、实验的
errant,adj.误入歧途的，犯错误的
erratic,adj.善变的
erudite,adj.博学的
escalate,v.（使）（战争等）升级，扩大
eschew,vt.刻意避开；戒绝
esoteric,adj.深奥难懂的
espouse,vt.支持；拥护
esteem,n./v.尊重
estimable,adj.值得尊敬的
estrange,vt.使疏远，离间，使感情失和
etch,v.留下深刻印象，铭记
eternal,adj.永恒的
ethereal,adj.轻巧精致的;adj.非物质的，精神（上）的
ethics,n.道德规范
eulogize,vt.称赞；颂扬
euphemism,n.婉言，委婉的说法
euphonious,adj.悦耳的
euphoria,n.感觉极其愉快
evacuate,vt.撤离
evanescent,adj.逐渐消失的，短暂的
entail,v.牵连；导致
everlasting,adj.永恒的，持久的
evict,vt.赶出，逐出
evince,vt.表明
evoke,vt.唤起，引发
exacerbate,"vt.使加剧,使恶化"
exacting,adj.严格的，苛求的;adj.费时间花心思的
exalt,vt.赞扬
exasperate,vt.激怒
excavate,v.挖掘，挖空
exceptional,adj.例外的，特别的，非凡的
excoriate,vt.严厉批评
excrete,vt.排泄
excruciate,vt.折磨，使痛苦
exculpate,vt.声明无罪；开脱，使无罪
excursive,adj.离题的；散漫的
execrate,v.痛恨
exemplary,adj.榜样的，值得效仿的
exempt,vt.使免除
exhaust,vt.耗尽
exhilarate,vt.使高兴；使兴奋
exhort,vt.敦促，力劝
exigent,adj.紧急的
exodus,n.大批离去
exonerate,vt.免除责备
exorbitant,adj.过度的
exotic,adj.外来的，不同寻常的
expansive,adj.话多的，健谈的
expediency,n.应急手段，权宜之计
expedite,vt.加快进程
expiate,vt.赎罪，纠正
expire,v.断气，死亡;v.到期
explicit,adj.表达清晰的;adj.成熟的，完全形成的
exploit,n.英雄行为;vt.最大程度地利用
exponent,n.倡导者，支持者
expurgate,vt.净化（书等），删去（不当处）
exquisite,adj.精致精巧的
extant,adj.现存的
extemporize,v.即兴表现
extenuate,vt.减轻罪过
extinct,adj.灭绝的
extinguish,vt.熄灭
extol,vt.赞美；吹捧
extort,vt.勒索
extract,vt.用力拔出
encyclopedic,adj.全面的，百科全书式的
extraneous,adj.无关的，不重要的
extravagant,adj.挥霍的;adj.过度的，不必要的
extricate,vt.使解脱，救出
exuberant,adj.非常高兴的，热情洋溢的
exude,v.分泌，流出
exult,vi.感到欢喜
fable,n.神话，传说;n.谎言，虚构
fabricate,vt.捏造
facetious,adj.喜欢开玩笑的，轻浮的
facile,adj.表面的，浅尝辄止的
facilitate,vt.使变容易，促进
faction,n.派系
fallacious,adj.谬误的，不合逻辑的
fallow,adj.休耕的
fail-safe,n.保险措施;adj.万无一失的
falsehood,n.谎言
falter,vi.蹒跚;vi.犹豫，踌躇
fanatic,n.狂热者;adj.狂热的；盲信的
fantasy,n.幻想;vt.产生幻想
farce,n.闹剧
fascinate,vt.强烈吸引，使入迷
fast,n.绝食；斋戒;adj.忠诚的
fastidious,adj.挑剔的，极仔细的，追求完美的
fateful,adj.意义重大的
fathom,vt.彻底理解，弄懂
fatigue,n.疲惫；
fatuous,adj.愚笨的，昏庸的
faultfinder,n.吹毛求疵的人
favorable,adj.有利的
fawn,vi.阿谀奉承
faze,vt.打扰，使尴尬
feckless,adj.无成果的，没有价值的;adj.粗心不负责任的
fecund,adj.多产的，肥沃的
feeble,adj.衰弱的
feign,vt.制造假象，装出…的样子
foreshadow,vt.预示
feral,adj.野生的；
fertilize,vt.使肥沃，使多产
fervid,adj.酷热的;adj.热情的
forte,n.优势，长处
fester,v.感染，溃烂，腐烂
fetid,adj.恶臭的
fetter,vt.束缚
fiasco,n.大失败
fickle,adj.易变的；
fictitious,adj.虚构的
fidelity,n.忠诚
figurative,adj.比喻的
fractious,adj.难以管束的
filibuster,n./v.拖延议事
filter,v.过滤
finale,n.终场，结局
finesse,n.娴熟技巧；;v.（巧妙地）躲避
finicky,adj.过分讲究的，挑剔的
flaccid,adj.不结实的，松弛的
flag,vi.变得衰弱
flamboyant,adj.艳丽夺目的，炫耀的，充满装饰的
flatter,vt.拍马屁，奉承，讨好
flaw,n.瑕疵，缺点;v.降低，破坏，使不完美
fledgling,n.新手
fleet,adj.迅速的；
flexible,adj.灵活的，可变的;adj.易受影响的
flinch,vi.畏缩；退缩
flippancy,n.轻率，无礼
flirt,vi.调情
flit,vi.快速或突然地经过
flock,vi.聚集，集体行动
florid,adj.辞藻华丽的，花哨的
flounder,vi.笨拙地行动，挣扎
flourish,vi.茂盛；繁荣
flout,n./v.嘲弄性不理会，蔑视
flabby,adj.疲软的，无力的
fluent,adj.表达流利的
fluky,adj.侥幸的
flush,adj.大量的;vi.冲洗
fluster,vt.使慌乱
foible,n.小缺点
foil,vt.挫败
foment,vt.助长，煽动
foolproof,adj.十分简单以至于不会失败的
footloose,adj.无拘无束的，自由的
forbearance,n.克制；忍耐
forebear,n.祖先
forestall,vt.预先阻止
foreword,n.前言
forge,v.伪造;v.锻造，铸就
formidable,adj.艰难的
forthright,adj.直率的，说话率真的;adj.直接的，不绕弯子的
fortify,vt.加固，鼓励
foster,vt.促进，鼓励，培养
founder,n.建立者;vi.完败
fracas,n.争吵，吵闹
fracture,n.破裂;vt.打碎，破坏
fragile,adj.易碎的
frail,adj.虚弱的;adj.（意志）薄弱的
fraudulent,adj.欺诈的
fraught,adj.充满的
frenzy,n.疯狂，狂怒
fretful,adj.易怒的，烦躁的
far-fetched,adj.牵强的，不可信的
friable,adj.易碎的
friction,n.摩擦;n.冲突，不和
frigid,adj.严寒的;adj.冷漠的
fringe,n.边缘
frivolous,adj.轻浮的;adj.不重要的
frothy,adj.（内容等）欢乐轻佻、不严肃的
frowsy,adj.邋遢的
frugal,adj.节约的
fungible,adj.可互换的
full-bodied,adj.重要的
fulminate,v.大声斥责
fumble,v.笨拙地做
furor,n.喧闹，狂怒；激动，狂热
furtive,adj.鬼鬼祟祟的；秘密的
fury,n.暴怒
fussy,adj.谨慎的;adj.挑剔的
fusty,adj.过时的;adj.腐臭的
futile,adj.无效的，无用的
gadfly,n.刺激物
gaffe,n.（社交上）失礼，失态
gainsay,vt.否认
gall,vt.（使）焦躁，激怒
gallant,adj.英勇的；
galvanize,vt.（好似用电击）刺激
gamble,v.赌博，孤注一掷
gambol,vi.欢跳，雀跃
gag,n.笑话；玩笑之举
garble,vt.曲解，篡改，混淆（以至使无法理解）
gargantuan,adj.巨大的
garish,adj.过于鲜艳的，过于张扬的
generic,adj.无差别的，普遍的
garrulous,adj.啰嗦的，话多得令人厌烦的
guardian,n.保护者，捍卫者
gleam,v.闪光
gauche,adj.笨拙的，缺乏社交经验的
gaudy,adj.俗丽的
gauge,n.测量标准;vt.判定
gear,v.调整（以配合）
genial,adj.和蔼亲切的
genteel,adj.有教养的，不粗俗的
germane,adj.有关的，适当的
gibe,v.嘲弄
giddy,adj.轻率不严肃的
gild,vt.（带欺骗性地）修改，润色
gist,n.要点
gigantic,adj.巨大的
glaze,vt.给…上釉，妆点
glib,adj.流利圆滑的（常含有不真诚或欺诈的成分），油腔滑调的;adj.缺乏深度的，肤浅的
glisten,vi.闪光
glitch,n.小故障
gloat,vi.幸灾乐祸，自鸣得意
gloomy,adj.忧郁的
gloss,n.简短解释;v.敷衍潦草做事（甚至忽略）
glossy,adj.平滑的，有光泽的
glut,vt.使过量，使充满
glutinous,adj.胶状的，粘的
glutton,n.贪吃者
goad,vt.刺激，驱使，激发
gobble,vt.狼吞虎咽
goggle,vi.凝视
goldbrick,v.逃避工作和责任
gorge,n.峡谷;v.狼吞虎咽
gossamer,n.虚无缥缈的东西;adj.轻薄的；薄弱的
grimy,adj.肮脏的
gourmet,n.美食家
grandeur,n.宏伟，壮丽
grandiloquent,adj.（语言等）浮夸的
grandiose,adj.自命不凡的，浮夸的
grandstand,vi.为了给人留下印象而表演，哗众取宠
grate,v.刮擦（以发出刺耳的声音）;v.骚扰，惹恼
gratify,vt.使满足
gratuitous,adj.无根据的，无理由的;adj.无报酬的，免费的
green,adj.无经验的
gregarious,adj.爱社交的;adj.群居的
grieve,vt.（使）感到悲伤
glamorous,adj.迷人的
grin,v.咧嘴笑，咧嘴笑着表示
gripe,vi.抱怨
grisly,adj.令人反感的，令人恐惧的
groove,v.享受，极其满意，过得快活
grotesque,adj.难看的
grovel,vi.卑躬屈膝
grueling,adj.费时间花心思的
guile,n.狡猾，狡诈
gull,vt.欺骗
glean,v.收集
groundless,adj.没有依据的
gush,v.（使）感情强烈外溢
gust,n.情感爆发
guzzle,v.狂饮
hack,n.雇佣文人;v.乱砍；开辟
hackneyed,adj.陈腐的，缺乏创新的
halcyon,adj.宁静的，平静的
hale,adj.强壮的，健壮的
half-baked,adj.不明智的
hallmark,n.典型的特征
hallow,vt.尊敬，把…视为神圣
hallucination,n.错觉
ham-handed,adj.笨手笨脚的
hammer,v.屡次重申
hamper,vt.阻碍
hamstring,vt.使无效，使无力
hangdog,adj.伤心的，沮丧的
hanker,v./n.向往，渴望
haphazard,adj.无秩序的，无目标的
harangue,v./n.（发表）长篇大论
harass,vt．烦扰；
harbinger,n.预言者
harbor,vt.心怀，牢记
hard-bitten,adj.顽强的，经受得住困境、压力的
hardy,adj.顽强的
harmonious,adj.和谐一致的
harness,vt.利用
harrow,vt.折磨，使苦恼
harry,vt.不断烦扰，骚扰
harsh,adj. 严厉的
hasten,vt.促进
hasty,adj. 轻率的
haunt,vt. 常去拜访;vt. 不断地想起，萦绕心头
hauteur,n. 傲慢，自大
haven,n. 安全的地方
havoc,n. 大混乱
headlong,adj. 鲁莽的，草率的
hearken,vi. 倾听，关注
hearten,vt. 给予鼓励，鼓舞
heartrending,adj. 令人心碎的
hedonism,n. 享乐主义
hegemony,n. 霸权，统治权
heinous,adj. 可憎的，十恶不赦的
hew,vi. 遵守
herald,vt. 预示，预兆
heresy,n. 异教，和普遍观点相悖的说法
heretical,adj. 异教的，异端邪说的
hermetic,adj. 深奥的
hagiographic,adj.捧为圣人一般的，过分谄媚的
heterodox,adj. 非正统的，异端的
hidebound,adj. 死板的，极度保守的
hideous,adj. 非常丑陋的
hie,vi. 匆匆忙忙
humbug,n. 骗子
hilarious,adj. 非常好笑的
histrionic,adj. 夸张做作的
hive,n. 忙碌之地;v. 储备，积累
hoard,v. 贮藏，秘藏
hoary,adj. 极老的
hoax,n. / vt. 欺骗
hodgepodge,n. 大杂烩
homage,n. 尊敬，敬意
homely,adj. 其貌不扬的，朴素简单的
homily,n. 冗长乏味的道德讲演或训诫
homogenize,vt.使统一化
hone,vt. 提升，改进
hoodwink,vt. 欺骗
hortative,adj. 鼓励的
heartfelt,adj. 真心实意的
hubris,n. 狂妄自大
humble,adj. 谦逊的;adj. 顺从的，谦卑的
hedge,v. 闪烁其词
humor,vt. 迎合，迁就
hurricane,n. 飓风般的事物，引起动荡的事物
husband,vt. 节俭，勤俭持家
husk,vt. 剥去
husky,adj. （尤指声音）沙哑的，粗糙的
hybrid,n. 杂交品种，混合品种;adj. 杂交的
hymn,n. 赞歌，赞美诗
hyperbole,n. 夸张
hypnotic,adj. 催眠的
hypocritical,adj. 虚伪的
iconoclast,n. 特立独行的人
idolatrize,vt. （通常盲目）崇拜
idyll,n. 无忧无虑的生活
ignite,vt. 激起，唤起(感情等）
ignominy,n. 耻辱
illiteracy,n. 文盲
illuminati,n. 智者
illuminate,vt. 阐明
illusory,adj. 幻觉的，虚幻的
imbibe,v. 喝水，摄取水分
imbroglio,n. 困境，复杂的局面
imitation,n. 仿制品
immaculate,adj. 完美的，没有任何错误的
immanent,adj. 内在的
immaterial,adj. 无关的，不重要的
immature,adj. （生理、心理）未完全发展的，未发育成熟的
immemorial,adj. 古老的
immune,adj. 不易被感染的，有免疫力的;adj. 不受影响的
immure,vt. 监禁，禁闭；使闭门不出
immutable,adj. 不可变的
impassive,adj. 冷漠的，无感情的
impeccable,adj. 无暇的，无可挑剔的
impecunious,adj. 贫穷的
impede,vt. 妨碍，阻碍
impending,adj. 即将发生的
impenetrable,adj. 不可渗透的，不可穿透的;adj. 难以理解的
impenitent,adj. 不悔悟的
imperative,adj. 命令的，强制性的;adj. 迫切的
imperial,adj. 巨大的，令人惊叹的
imperious,adj. 傲慢的，专横的
impertinent,adj. 无关紧要的;adj. 粗鲁无礼的，大胆的
imperturbable,adj. 沉着冷静的，淡定的
impervious,adj. 不可渗透的，不可穿透的;adj. 不能被破坏的;adj. 不为所动的
impetuous,adj. 冲动的，性急的，轻率的
impious,adj. 不敬神的
implacable,adj. 固执的;adj. 无法平息的
implement,vt. 执行，实施
implode,v. （使）剧烈收缩，（使）坍缩，（使）内爆
importune,vt. 恳求，迫切请求
imposing,adj. 宏伟壮丽的
impostor,n. 冒充者，骗子
impotent,adj. 无力的，无能的
imprecise,adj. 不精确的
impromptu,n. 即席的表演;adj. 即席的，即兴的
improvise,v. 即兴而作
imprudent,adj. 不明智的
impudent,adj. 放肆大胆的，无礼的
impugn,vt. 责难，抨击
impuissance,n. 无权，虚弱
inadvertent,adj. 偶然发生的;adj. 疏忽的，不留意的
inalienable,adj. 不可剥夺的，不能让与的
inane,adj. 空洞的
inanimate,adj. 无生命的
inaugurate,vt. 开始
incandescent,adj. 明亮灿烂的;adj. 热情饱满的，感情强烈的
incantation,n. 咒语
incarnate,vt. 使（思想，理论）具化，体现
incendiary,n. 煽动者;adj. 煽动性的
incense,vt. 激怒
inception,n. 开端，开始
incessant,adj. 无间断的
inch,v. （使）慢慢移动
inchoate,adj. 新生的，才开始的
incinerate,v. 将…烧成灰烬
incipient,adj. 起初的，初现的
incite,vt. 煽动，激起
inclement,adj. （天气等）恶劣的;adj. 无情的，严酷的
incogitant,adj. 考虑不周的，不体谅的
incongruent,adj. 不全等的；不一致的
inconsequential,adj. 不重要的
incontrovertible,adj. 不可争议的
incorrigible,adj. 不可救药的，积习难改的;adj. 无法管制的
incriminate,vt. 归罪于
incubate,vt. 孵化;vt. 帮助，培养，促进
inculpate,vt. 归罪于
incursion,n. 入侵
indelible,adj. 无法忘怀的
indemnity,n. (损害，伤害等的）保险赔偿
indict,vt. 起诉，控告
indifferent,adj. 不感兴趣的，冷漠的
indigenous,adj. 土产的，本地的;adj. 与生俱来的，先天的
indigent,adj. 贫穷的
indispensable,adj. 必不可少的，不可或缺的
indoctrinate,vt. 教育，灌输思想
indolent,adj. 懒惰的
induce,v. 引发，导致
indulgent,adj. （对己）放纵的，（对他人）纵容的
indurate,adj. 铁石心肠的，冷酷无情的;vt. 使变硬
industrious,adj. 勤勉的
ineffable,adj. 难以表达的
ineluctable,adj. 无法逃避的，必然的
inept,adj. 愚笨的，荒谬的;adj. 不称职的，无能力的
inert,adj. （人）懒惰缺乏活力的；（物品）惰性的
inevitable,adj. 不可避免的，必然的
inexorable,adj. 无法劝阻的，不为所动的
infamous,adj. 臭名昭著的
infatuate,vt. 使迷恋
incommensurate,adj. 不相称的
infiltrate,vt. 秘密潜入
infinite,adj. 无尽的，无限的
infirm,adj. 虚弱的;adj. 不果断的，优柔寡断的
inflame,vt. 使加剧
infelicitous,adj. 不愉快的，不幸的;adj. 不适当的，不合时宜的
influx,n. 滴入
infuriate,vt. 激怒
infuse,vt. 灌输，使… 充满
ingenious,adj. 聪明的，有创造才能的
intermediary,n. 中间人
ingenuous,adj. 天真淳朴的
ingest,vt. 摄入，咽下
ingrained,adj. 本质的，根深蒂固的
ingratiating,adj. 讨人喜欢的;adj. 逢迎的，意在奉承的
inherent,adj. 内在的，本质的
inimical,adj. 带有敌意的
inimitable,adj. 无法仿效的，独特的
iniquity,n. 邪恶，不公正
initiate,vt. 创始，发动促进
inkling,n. 轻微暗示，小提示
innocuous,adj. 无害的;adj. 不会引起敌意的
innovative,adj. 创新性的
inquisitive,adj. 过分好奇的
insensible,adj. 无知觉的
inconsistent,adj. 不一致的，矛盾的
insentient,adj. 无感觉的，无知觉的;adj. 一知半解的，略懂的
inconclusive,adj. 没有定论的
insipid,adj. 平淡的，无聊的
insolent,adj. 粗野的，无礼的
insouciant,adj. 无忧虑的，不在乎的
instate,vt. 任命
instigate,vt. 煽动，激起
instill,vt. 灌输，使… 充满
institute,vt. 创立，制定
insubordinate,adj. 不服从权威的
insular,adj. （观念，想法等）孤立狭隘的
insulate,vt. 使绝缘，使隔离，不受外界影响
insurgent,n. 叛乱分子
intangible,adj. 无法感知的，无形的
integral,adj. 完整的
integrity,n. 正直;n. 完整性
intelligible,adj. 可理解的
intemperate,adj. 无节制的，极端的，不温和的
intensify,vt. 加强，激化
inter,vt. 埋葬
intercessor,n. 调停者
interdict,vt. 禁止
interim,n. 中间过渡时期，间隔;adj. 暂时的
interlock,vi. 连锁，连结
interminable,adj. 无尽头的
intermittent,adj. 断断续续的
interregnum,n. 过渡期
interrogate,vt. 质问，审问
intimate,adj. 有紧密联系的，亲密无间的;v. 间接地沟通
intimidate,vt. 威吓
intoxicant,n. 使人陶醉的东西（尤指饮料）
intransigent,adj. 不妥协的，固执的
intrepid,adj. 大胆的
intrigue,n. 阴谋;vt. 激起…的兴趣
intrinsic,adj. 固有的，内在的
intuitive,adj. 直觉的
inundate,vt. 淹没
inure,vt. 使习惯接受不好的东西
invective,adj. 侮辱性的
inveigh,vi. 激烈抗议，表示强烈不满
inveigle,vt. 诱骗
inventory,n. (包含要点的）简介
inveterate,adj. 根深蒂固的
invidious,adj. 惹人反感的;adj. 羡慕嫉妒恨的
invigorate,vt. 使精神，使强壮，鼓舞激励
invincible,adj. 不可战胜的，不可超越的
invoke,vt. 实施;vt. 产生，造成
irascible,adj. 易怒的
irate,adj. 极其愤怒的
iridescent,adj. 五颜六色的
irk,vt. 使烦恼，使厌倦
ironclad,adj. 非常坚固的，坚不可摧的
irradicable,adj. 不能根除的
itinerant,adj. 巡游的，巡回的
irrigate,vt. 灌溉;vt. 冲洗
irritate,vt. 刺激，惹恼
issue,n. （有争议的）话题，议题;v. （使）流出
jabber,vi. 快而不清楚地说
jaded,adj. 厌倦的，没兴趣没热情的
jape,v. 嘲弄
jargon,n. 行业术语
jarring,adj. 刺耳的
jaundice,n. (因嫉妒或厌世而产生的）偏见
jaunty,adj. 轻快的，活泼的
jejune,adj.无趣乏味的
jettison,vt. 放弃，拒绝接受（想法，计划等）
jeopardy,n. 危险
jest,n. 轻浮的态度，戏谑
jibe,vi. 意见一致
jingoist,n. 极端爱国激进分子（通常表现为好战的对外政策）
jitters,n. 紧张，不安
jocular,adj. 搞笑的，欢乐的
jocund,adj. 欢快的，高兴的
jog,vt. 唤起
jolt,vt. 惊吓
jot,vt. 简要记录
jovial,adj. 愉快的
jubilant,adj. 喜悦的
judicious,adj. 明智的，慎重的
juggernaut,n. 无法阻挡的力量，摧毁一切的强大力量
ken,n. 视野范围
kidnap,vt. 绑架勒索
kindle,vt. 点燃
kindred,adj. 类似的；具有相似或相近的起源、本性或性质的
knack,n. 诀窍，聪明的做法
kilter,n. 平衡
knit,vt. 连接，联系
knotty,adj. 复杂的，困难的
kudos,n. 名望，名声;n. 夸奖，赞扬
labile,adj. 易变的，不稳定的
laborious,adj. 勤奋的;adj. 费力的
labyrinth,adj. 迷宫似的，复杂曲折的
lacerate,vt. 使非常痛苦
lackluster,adj. 黯淡无光泽的
lachrymose,adj. 催人泪下的，悲伤的
laconic,adj. 简洁（以至于显得粗鲁或难以理解）的
lambaste,vt. 严厉斥责
lament,v.为…哀悼，表达痛苦或遗憾
libelous,adj. 恶意中伤的，诽谤的
lampoon,n. 讽刺
languid,adj. 没精打采的，虚弱的
languish,vi. 变得衰弱
languor,n. 懒惰;n. 衰弱
lank,adj. 细长瘦弱的;adj. 不僵硬的，柔软松弛的
lapse,n. 小过失
largesse,n. 慷慨
lash,v. 猛击，撞击
lassitude,n. 乏力，没精打采
latent,adj. 潜在的，不活跃的
latitude,n. （行动或言论）自由
laudatory,adj. 表示赞扬的
lavish,adj. 奢侈的，大量的 ，无节制的;vt. 挥霍，浪费
leaven,vt. 在…中加入轻松、活泼或变更的因素
leer,vi.一瞥，斜眼看
leery,adj. 怀疑的，不信任的
legacy,n. 遗产
lucrative,adj. 有利可图的
legion,adj. 大量的
lenient,adj. 宽大仁慈的
lethal,adj. 非常有害的，致命的
lethargic,adj. 没精打采的，行动迟缓的
levelheaded,adj. 明智的
levity,n. 轻浮的态度，戏谑
liability,n. 责任
liberal,adj.思想前卫的;adj.慷慨的，大方的
libertine,n.放荡不羁者
licentious,adj.放荡的，性欲强的
liken,vt.显示相似，把…比作
limber,adj.可塑的，柔软的
limp,adj.柔软的，松散的
limpid,adj.透明清澈的
linger,vi.磨蹭，闲荡
lissome,adj.柔软的;adj.敏捷的，轻盈的
list,v.（使）倾斜
lithe,adj.敏捷的，轻盈的;adj.柔软的
loath,adj.不情愿的，讨厌的
loathe,vt.厌恶
lofty,adj.崇高的;adj.自大的
loll,vi.偷懒，打发时间
lopsided,adj.不平衡的，不协调的
loquacious,adj.话多的
loutish,adj.粗鲁的
lubricate,vt.使润滑
lucid,adj.表达清晰的，简单易懂的
lug,vt.费力搬运
lugubrious,adj.（故作夸张的）悲哀的
lull,n.相对平静时期，间隙;vt.使镇静，使安心
lullaby,vt.使镇静，使安心
lumber,vi.笨拙地行动;vt.使负担（从而拖累）
luminary,n.杰出人物
lurch,vi.蹒跚
lurk,vi.潜伏
lush,adj.多产的
lustrous,adj.有光泽的
luxurious,adj.奢侈的
lyric,adj.如诗歌般流畅甜美的
macabre,adj.恐怖的
macerate,vt.浸化（以软化）
maculate,vt.使有斑点，弄脏；玷污，损坏
maelstrom,n.混乱、动荡的局势
magnificent,adj.壮丽的
maladroit,adj.笨拙的
malaise,n.不舒服
malcontent,n.不满分子;adj.不满的
malicious,adj.恶意的
malign,adj.恶意的;vt.诽谤
malinger,vi.装病以逃避工作
malleable,adj.可塑的;adj.易控制的
malodorous,adj.恶臭的
mandatory,adj.强制的
mangle,vt.弄砸
mangy,adj.卑劣的
mania,n.热衷，狂热
manifest,adj.显然的，明显易懂的;v.显现，显露
manipulate,vt.巧妙处理；暗中操控
mannered,adj.不自然的，做作的
manumit,vt.解放（奴隶）
manuscript,n.手稿
mar,vt.破坏，削弱
malfeasance,n.非法行为
martinet,n.纪律严明之人
marvel,n.令人惊奇的食物;v.（因为壮观、美丽等而）表示惊讶
mash,vt.捣碎
masquerade,n.面具，伪装;vi.伪装，掩饰
mastery,n.技艺超群，精通
matriculate,v.录取
maudlin,adj.过于感伤的
maven,n.专家
maverick,n.特立独行之人;adj.标新立异的，不合常规的
mawkish,adj.过于感伤的
meager,adj.贫乏的
mean,adj.卑贱的;adj.吝啬的
meander,vi.闲逛，漫步
measly,adj.少得可怜的，微不足道的
measured,adj.深思熟虑的
meddle,vi.干涉，管闲事
mediate,vt.调解，调停
mediocre,adj.平庸的；质量中等偏差的
medley,adj.大杂烩，混合物
meek,adj.顺从的
meet,adj.合适的
mellifluous,adj.（曲调）优美的
melodramatic,adj.感情夸张的，伤感的
menace,vt.威胁，使处于危险
mendacious,adj.撒谎的，虚假的
mentor,vt.教导，指导
mercenary,adj.唯利是图的，贪婪的
mercurial,adj.（情绪）善变的
merited,adj.应得的，理所当然的
mesh,v.诱捕
mesmeric,adj.令人着迷的，难以抗拒的
metamorphose,vt.（使）变形
metaphysical,adj.哲学上的，理论上的;adj.非尘世的
meteoric,adj.流星般迅速而短暂的
methodical,adj.井然有序的，有条理的
meticulous,adj.极为谨慎的
mettle,n.勇气;n.毅力，耐力
miff,vt.使恼怒
migratory,adj.迁移的
milk,vt.榨取（财富、信息等）
mime,v.模仿
mimic,adj.仿真的，仿造的;vt.模仿
minatory,adj.带来威胁的，有凶兆的
ministration,n.帮助
mingle,vt.混合，结合
minimize,vt.将…减到最少;vt.可以低估
mint,adj.无损坏的
minuscule,adj.极小的
minute,adj.仔细的，谨小慎微的;adj.小的，不重要的
minutiae,n.次要的细节，小事
mirage,n.海市蜃楼，幻想
mire,n.困境;vt.使陷入困境，拖后腿
mirth,n.欢乐，欢笑
misanthropic,adj.反人类的
misbehaving,adj.调皮的，行为不端的
mischievous,adj.调皮的，淘气的
misconstrue,vi.误解，曲解
miscreant,n.恶棍，罪犯
misdemeanour,n.轻罪
miserly,adj.吝啬的
manacle,vt.限制，给…制造困难
misgiving,n.担忧，疑虑
mishap,n.不幸之事
misrepresent,vi.误传，篡改
mite,n.微小的东西，很少的钱
mitigate,vt.减轻痛苦，使缓和
majestic,adj.宏伟壮丽的
mockery,n.鄙视，嘲弄;n.以嘲笑为目的的模仿
moderate,vt.使缓和;adj.适度的，中庸的
modicum,n.少量
mollify,vt.平息，抚慰，缓和
mollycoddle,vt.宠爱，溺爱
molt,vi.脱（羽、皮等）
momentous,adj.极重要的
momentum,n.动力；势头
mongrel,adj.杂种的，混血儿的
monochromatic,adj.单调无聊的
monologue,n.独白
monotonous,adj.无聊的
montage,n.大杂烩
moratorium,n.延期，暂缓实行
morbid,adj.疾病的，疾病所指的;adj.（思想性格）变态的
mordant,adj.尖酸刻薄的
moribund,adj.即将过时的
morose,adj.忧郁的
mosaic,n.综合物，马赛克般的东西
monolithic,adj.大一统的
moth-eaten,adj.过时的
motile,adj.能动的
motivate,vt.刺激，激发
motley,adj.混杂的，富于变化的
mottle,vt.标记上杂色斑点的
multifarious,adj.多种多样的
mournful,adj.悲伤的
metaphor,adj.暗喻
muddy,adj.浑浊的，不清晰的;vt.使难以理解
muffle,vt.使消声
mulish,adj.固执的
mumble,v.说话含糊
mundane,adj.平凡的
munificent,adj.慷慨的
murky,adj.模糊的，晦涩的
murmur,vi.低声抱怨，发牢骚
mutate,v.（使）改变，（使）变异
mute,adj.不说话的，缄默的
mutter,vi.低声抱怨
myopic,adj.缺乏远见的，缺乏辨识能力的
myriad,adj.无限的，大量的
nadir,n.最低点
naive,adj.天真纯朴的
narcissistic,adj.自恋的
nascent,adj.新生的
natty,adj.整洁的，时髦的
nauseate,v.（使）厌恶，（使）作呕
nautical,adj.航海的
naysay,vt.拒绝，否认
nebulous,adj.模糊的
needy,adj.贫困的
nefarious,adj.极坏的，邪恶的
negation,n.否定
negligent,adj.疏忽大意的
negotiate,v.商量，谈判
neophyte,n.初学者，新手
nerve,n.（坚强的）意志，勇气;vt.给予勇气，鼓励
nettle,vt.惹怒
neutralize,vt.使无效
nexus,n.连结;n.核心，最重要的地带
nibble,vt.小口咬
